Column,Lower_Bound,Upper_Bound,Mean_Cleaned,Noise_Count,Normality_Score
i7-920,-12.5,87.5,36.81481481481482,3,0.9259259259259259
i7-930,12.875,39.875,24.75,6,1.0
i7-950,-45.625,169.375,61.92857142857143,2,0.9642857142857143
i7-960,-58.625,204.375,70.37931034482759,1,0.9655172413793104
i7-980X,-56.25,473.75,189.44,5,0.96
i5-750,-57.5,122.5,31.103448275862068,1,1.0
i5-760,-14.625,60.375,22.25925925925926,3,0.9259259259259259
i3-530,-12.5,55.5,19.653846153846153,4,0.9615384615384616
i3-540,-35.125,113.875,37.275862068965516,1,0.9655172413793104
i3-2100,-4.875,40.125,16.59259259259259,3,0.9259259259259259
i3-2120,0.0,40.0,16.391304347826086,7,0.9130434782608695
i3-2100T,4.5,38.5,21.533333333333335,0,0.9666666666666667
i5-2300,15.625,200.625,112.3,0,0.9333333333333333
i5-2400,32.25,74.25,50.81481481481482,3,0.9629629629629629
i5-2500K,31.25,119.25,68.36,5,0.92
i5-2550K,-34.25,219.75,96.0,0,0.9666666666666667
i7-2600,92.5,232.5,158.10714285714286,2,0.9285714285714286
i7-2600K,95.125,262.125,178.03571428571428,2,0.9285714285714286
i7-2700K,67.375,354.375,201.10714285714286,2,0.8928571428571429
i3-3220,10.375,33.375,19.73913043478261,7,1.0
i3-3240T,-6.5,83.5,32.76,5,0.96
i5-3470,13.125,166.125,89.24137931034483,1,0.9655172413793104
i5-3570K,51.5,127.5,84.6,5,0.96
i5-3550,9.375,184.375,91.51851851851852,3,0.9629629629629629
i7-3770,119.875,306.875,218.0,0,0.9333333333333333
i7-3770K,202.5,332.5,263.04,5,0.96
i7-3820,-13.625,287.375,136.96666666666667,0,0.9666666666666667
i3-4130,8.625,23.625,16.178571428571427,2,0.9642857142857143
i3-4330,15.5,35.5,25.037037037037038,3,0.9259259259259259
i5-4440,-54.375,480.625,209.27586206896552,1,0.9655172413793104
i5-4690K,-15.25,366.75,157.0,3,0.9259259259259259
i7-4770,156.25,286.25,218.96428571428572,2,0.8928571428571429
i7-4790K,247.5,331.5,289.4,5,0.92
i5-4590,-2.125,238.875,111.48148148148148,3,0.9259259259259259
i3-4360,-42.75,165.25,56.148148148148145,3,0.9259259259259259
i7-5775C,48.625,985.625,457.65384615384613,4,0.9615384615384616
i5-5675C,85.0,389.0,234.82142857142858,2,0.9285714285714286
i7-6700K,282.75,468.75,375.5357142857143,2,0.8928571428571429
i7-6700,175.625,502.625,359.96,5,0.96
i5-6600K,66.75,438.75,259.60714285714283,2,0.9642857142857143
i5-6600,132.5,272.5,198.75,2,0.9642857142857143
i5-6500,151.25,229.25,187.47826086956522,7,0.9565217391304348
i5-6400,-34.0,312.0,141.9,0,1.0
i3-6100,31.0,61.0,46.56666666666667,0,0.9
i7-7700K,39.875,756.875,412.25,2,0.9285714285714286
i7-7700,348.125,511.125,439.4074074074074,3,0.9629629629629629
i5-7600K,200.625,327.625,260.84,5,0.96
i5-7600,193.375,304.375,243.1153846153846,4,0.9230769230769231
i5-7500,80.5,348.5,205.12,5,0.96
i5-7400,171.875,276.875,220.89285714285714,2,0.9285714285714286
i3-7350K,75.5,135.5,103.07407407407408,3,1.0
i3-7300,-114.625,324.375,100.75,2,0.9642857142857143
i3-7100,42.5,70.5,57.48148148148148,3,0.9259259259259259
i7-7700T,14.375,685.375,353.89285714285717,2,0.9642857142857143
i5-7600T,-4.0,518.0,224.04347826086956,7,1.0
i5-7500T,2.875,1401.875,692.6551724137931,1,0.9655172413793104
i7-8700K,450.0,1010.0,728.1,0,0.9
i7-8700,32.875,761.875,401.06666666666666,0,0.9666666666666667
i7-8700T,360.625,1295.625,805.1071428571429,2,0.9285714285714286
i5-8600K,200.625,623.625,401.0,2,0.9642857142857143
i5-8600,63.75,833.75,453.07142857142856,2,0.9285714285714286
i5-8500,250.625,441.625,345.10714285714283,2,0.9642857142857143
i5-8400,265.75,415.75,346.3076923076923,4,0.8846153846153846
i5-8400T,0.75,526.75,238.17857142857142,2,0.9642857142857143
i3-8350K,82.25,332.25,197.96153846153845,4,0.9230769230769231
i3-8300,95.0,231.0,156.84,5,0.96
i3-8100,106.375,129.375,116.08695652173913,7,0.9565217391304348
